Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
7	176594154	176596632
7	176588690	176590140
7	176584345	176586038
7	176568482	176569786
7	176440185	176441559
7	176440123	176441559
7	176266030	176275338
7	176267069	176275338
7	176191366	176193299
7	176191097	176193271
7	176190978	176193311
7	176173051	176175183
7	176172985	176175183
7	175909551	175910482
7	175907236	175908949
7	175788941	175792708
7	175788941	175797308
7	175788864	175797308
7	175788851	175797308
7	175788821	175789712
7	175788655	175797308
7	175773543	175773998
7	175714271	175715755
7	175714275	175718241
7	175714267	175718241
7	175605803	175611898
7	175605746	175612711
7	175605858	175613533
7	175583965	175585451
7	175487509	175491104
7	175406950	175407480
7	175347921	175350980
7	175347728	175350980
7	175250780	175254421
7	175246245	175246993
7	175225393	175232833
7	175040475	175041811
7	174913738	174914719
7	174908903	174914736
7	174908903	174914779
7	174881880	174883538
7	174833606	174834771
7	174832447	174834771
7	174832008	174834771
7	174832008	174834980
7	174811135	174819968
7	174805561	174806208
7	174805561	174808272
7	174630771	174631685
7	174627507	174630543
7	174622627	174623963
7	174580722	174581197
7	174564099	174567063
7	174562720	174569110
7	174555147	174558004
7	174555103	174558004
7	174487835	174495553
7	174448119	174450107
7	174411435	174412420
7	174404316	174410512
7	174382576	174384945
7	174370856	174371834
7	174332860	174334597
7	174330393	174330852
7	174328996	174330101
7	174328996	174330852
7	174326466	174330726
7	174321328	174323831
7	174321118	174323789
7	174321118	174323831
7	174268092	174270561
7	174267429	174271614
7	174267403	174272074
7	174267403	174272276
7	174267403	174273062
7	174244125	174244445
7	174234495	174238431
7	174230836	174231167
7	174145332	174150930
7	174145308	174150949
7	174145304	174150949
7	174145304	174150955
7	174145294	174150955
7	174004834	174006466
7	174002920	174004216
7	173994325	173996353
7	173870270	173881429
7	173860841	173863018
7	173848308	173849744
7	173826551	173829341
7	173595173	173596889
7	173595109	173596932
7	173556184	173558723
7	173486547	173489935
7	173487256	173490629
7	173486567	173490629
7	173321321	173326383
7	173317071	173320874
7	173317057	173320874
7	173291353	173295070
7	173285493	173288481
7	173267055	173274803
7	173266640	173270203
7	173263217	173265322
7	173235560	173258146
7	173226488	173230173
7	173216702	173223537
7	173190016	173191750
7	173190014	173195685
7	173111707	173117755
7	173081141	173084000
7	173082327	173084000
7	172989171	172989824
7	172977795	172981341
7	172976981	172981341
7	172966845	172969803
7	172966825	172969803
7	172865164	172866926
7	172858382	172863417
7	172858382	172859658
7	172779274	172780913
7	172777366	172780913
7	172771420	172772631
7	172716583	172717293
7	172707340	172712761
7	172707069	172712761
7	172704117	172705449
7	172704079	172706606
7	172699731	172701464
7	172686821	172696722
7	172549347	172550332
7	172549345	172550332
7	172543279	172548662
7	172543131	172549674
7	172405097	172407361
7	172301266	172312464
7	172248843	172250339
7	172200477	172205201
7	172200469	172205233
7	172160413	172165393
7	172160391	172165393
7	172148626	172150360
7	172082886	172084657
7	172006123	172010269
7	171971909	171977868
7	171971908	171977911
7	171971902	171977911
7	171971886	171972835
7	171901568	171903911
7	171790143	171830013
7	171776890	171778174
7	171775019	171778174
7	171775019	171778224
7	171746294	171747115
7	171735073	171735576
7	171710179	171719945
7	171669649	171673792
7	171621267	171623732
7	171615364	171616500
7	171606145	171616453
7	171606145	171616500
7	171605886	171616324
7	171577921	171579167
7	171535601	171536306
7	171455422	171456667
7	171392823	171401281
7	171396465	171401281
7	171273581	171292567
7	171248684	171249805
7	171099116	171107066
7	171086277	171089050
7	171086132	171089050
7	171076994	171079232
7	171076994	171079425
7	171036879	171040300
7	171039993	171041642
7	171002846	171021085
7	171002271	171021085
7	170925702	170926245
7	170925550	170926245
7	170911779	170914814
7	170911724	170914814
7	170911850	170914964
7	170911757	170918869
7	170918247	170918878
7	170918015	170918878
7	170711461	170712521
7	170695916	170696587
7	170696489	170699600
7	170696958	170699704
7	170608085	170612010
7	170591410	170601470
7	170582456	170583944
7	170577506	170582099
7	170571686	170582099
7	170537453	170539807
7	170537389	170539807
7	170519545	170528688
7	170521283	170528688
7	170511946	170514201
7	170461461	170462288
7	170460497	170462364
7	170457517	170459460
7	170436699	170439815
7	170408078	170411085
7	170406834	170411086
7	170406834	170411310
7	170289680	170293773
7	170181112	170184711
7	170154776	170155361
7	170078310	170079916
7	170074439	170079783
7	170060949	170067054
7	170004164	170009921
7	169977938	169979914
7	169965054	169967512
7	169878080	169881096
7	169484381	169486976
7	169380943	169386563
7	169371838	169376193
7	169371838	169373421
7	169304034	169308240
7	169304034	169309415
7	169303886	169309415
7	169304034	169310403
7	169302420	169302670
7	169290536	169296592
7	169255863	169257886
7	169255933	169257996
7	169255892	169258189
7	169198879	169199470
7	169188809	169194689
7	169162693	169163551
7	169071153	169073160
7	169033778	169035310
7	168953773	168962368
7	168944205	168945545
7	168936397	168937266
7	168905171	168906738
7	168853664	168855128
7	168728039	168729399
7	168720921	168732194
7	168720518	168741026
7	168632072	168635401
7	168615426	168616057
7	168615426	168619209
7	168615426	168619220
7	168615426	168619236
7	168527748	168528586
7	168527926	168528497
7	168444028	168446047
7	168258012	168259093
7	168255704	168256448
7	168240897	168242149
7	168240253	168242149
7	168145521	168146710
7	168143618	168146737
7	168123263	168125462
7	168124706	168125467
7	168123265	168125467
7	168045959	168047009
7	168044757	168047024
7	168026572	168030593
7	167979444	167984012
7	167979444	167980265
7	167948064	167954465
7	167948171	167954474
7	167955265	167955959
7	167948671	167955959
7	167948194	167955959
7	167948154	167955959
7	167893526	167904237
7	167879724	167884105
7	167879724	167884147
7	167848201	167850421
7	167755489	167771764
7	167755489	167771087
7	167677886	167680080
7	167647343	167649332
7	167546528	167549735
7	167541569	167544289
7	167537065	167544289
7	167525771	167526112
7	167518415	167521009
7	167469600	167471678
7	167459116	167460517
7	167461543	167462060
7	167431962	167436459
7	167427179	167428943
7	167384823	167387856
7	167380587	167383516
7	167363683	167365382
7	167190476	167192292
7	167183726	167192190
7	167183707	167192190
7	167142415	167147144
7	167065330	167066332
7	167059455	167060835
7	166895789	166899996
7	166895789	166900274
7	166784923	166785650
7	166740445	166741324
7	166738066	166740403
7	166738066	166741324
7	166605664	166609950
7	166596768	166604808
7	166593474	166596349
7	166588199	166592888
7	166587649	166592888
7	166501966	166506528
7	166227944	166237345
7	166227382	166237345
7	166204667	166215251
7	166186892	166191406
7	166186888	166192016
7	166078940	166079146
7	165984664	165985940
7	165941392	165946982
7	165941392	165946829
7	165892552	165895668
7	165891921	165895668
7	165887532	165889302
7	165886707	165889302
7	165886707	165889303
7	165886707	165889308
7	165874829	165879178
7	165849278	165850111
7	165822785	165823252
7	165790741	165793881
7	165787766	165790666
7	165728148	165728604
7	165621651	165626072
7	165574249	165579091
7	165574157	165579091
7	165503319	165506034
7	165503322	165506034
7	165457674	165459105
7	165424802	165426137
7	165423831	165426137
7	165423630	165426137
7	165423576	165426172
7	165423394	165426172
7	165384487	165389430
7	165383137	165384037
7	165283016	165284039
7	165241105	165245219
7	165239968	165240361
7	165235419	165237718
7	165069224	165075065
7	165051728	165053546
7	165051370	165053623
7	165050221	165053553
7	165050192	165051335
7	165030959	165035270
7	164869387	164872639
7	164826011	164826770
7	164823865	164826770
7	164823858	164826770
7	164733507	164734923
7	164707472	164712338
7	164503140	164503655
7	164451097	164456819
7	164242804	164246917
7	164239820	164242115
7	164239820	164242430
7	164107959	164108699
7	163962939	163968773
7	163954709	163959989
7	163828698	163831089
7	163822719	163824358
7	163798261	163798799
7	163795676	163795993
7	163727933	163730625
7	163727851	163730625
7	163727832	163730625
7	163725720	163726258
7	163714535	163716496
7	163714879	163716789
7	163683492	163684453
7	163684109	163684767
7	163660644	163663288
7	163650406	163663288
7	163650363	163663288
7	163647991	163648606
7	163635938	163637454
7	163631784	163632255
7	163614449	163615650
7	163583206	163587466
7	163195588	163196218
7	163150939	163152506
7	163095802	163099649
7	163041712	163042513
7	163041712	163045353
7	163026119	163028773
7	163023368	163028773
7	163005437	163010288
7	163011503	163016093
7	162993304	162999021
7	162993180	162999021
7	162898263	162899737
7	162879251	162880761
7	162879321	162880761
7	162852139	162862787
7	162849640	162851038
7	162805707	162815421
7	162800001	162802715
7	162750384	162751038
7	162749038	162750178
7	162709132	162711616
7	162709132	162711603
7	162600549	162606044
7	162600514	162606033
7	162456979	162461566
7	162456979	162470174
7	162443625	162452864
7	162382716	162383864
7	162381461	162383864
7	162362193	162363812
7	162361838	162363739
7	162361838	162363812
7	162348607	162349464
7	162192887	162196569
7	162119125	162124837
7	162094259	162102255
7	162094259	162099107
7	162097329	162102255
7	162083578	162086133
7	161997830	161998617
7	161988491	161993243
7	161979519	161984214
7	161958805	161962817
7	161894142	161894551
7	161894142	161902624
7	161873653	161890951
7	161853668	161863010
7	161853047	161863010
7	161843771	161845175
7	161841132	161842351
7	161841132	161842042
